PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP_REG,MIN_REG,FGA_REG,FGM_REG,FG_PCT_REG,FG3A_REG,FG3M_REG,FG3_PCT_REG,FTA_REG,FTM_REG,FT_PCT_REG,PTS_REG,AST_REG,TOV_REG,REB_REG,OREB_REG,DREB_REG,PLUS_MINUS_REG,TS_PCT_REG,EFG_PCT_REG,GP_CLU,MIN_CLU,FGA_CLU,FGM_CLU,FG_PCT_CLU,FG3A_CLU,FG3M_CLU,FG3_PCT_CLU,FTA_CLU,FTM_CLU,FT_PCT_CLU,PTS_CLU,AST_CLU,TOV_CLU,REB_CLU,OREB_CLU,DREB_CLU,PLUS_MINUS_CLU,TS_PCT_CLU,EFG_PCT_CLU,GP_PO,MIN_PO,FGA_PO,FGM_PO,FG_PCT_PO,FG3A_PO,FG3M_PO,FG3_PCT_PO,FTA_PO,FTM_PO,FT_PCT_PO,PTS_PO,AST_PO,TOV_PO,REB_PO,OREB_PO,DREB_PO,PLUS_MINUS_PO,TS_PCT_PO,EFG_PCT_PO,CLUTCH_SCORE,SEASON
201565,Derrick Rose,1610612752,NYK,50.0,25.6,12.2,5.7,0.47,2.6,1.0,0.388,2.5,2.2,0.866,14.7,4.2,1.6,2.6,0.4,2.2,2.7,0.5526315789473685,0.5081967213114754,23.0,3.4,1.6,0.4,0.27,0.4,0.1,0.3,0.1,0.0,0.5,1.0,0.2,0.2,0.3,0.0,0.3,-0.3,0.3041362530413625,0.28125,5.0,35.0,16.8,8.0,0.476,3.4,1.6,0.471,1.8,1.8,1.0,19.4,5.0,1.6,4.0,0.8,3.2,-6.8,0.5513869940882218,0.5238095238095238,0.48229226531307884,2020-21
201566,Russell Westbrook,1610612764,WAS,65.0,36.4,19.0,8.4,0.439,4.2,1.3,0.315,6.4,4.2,0.656,22.2,11.7,4.8,11.5,1.7,9.9,-1.4,0.5088008800880088,0.47631578947368425,35.0,4.4,2.8,1.4,0.495,0.8,0.3,0.345,0.9,0.7,0.806,3.7,1.0,0.5,1.3,0.1,1.2,0.6,0.5788485607008762,0.5535714285714285,5.0,37.2,16.8,5.6,0.333,4.0,1.0,0.25,8.6,6.8,0.791,19.0,11.8,4.2,10.4,2.8,7.6,-12.0,0.4615235134084726,0.3630952380952381,0.5232482657236841,2020-21
201567,Kevin Love,1610612739,CLE,25.0,24.9,10.1,4.1,0.409,6.2,2.3,0.365,2.0,1.7,0.824,12.2,2.5,1.5,7.4,0.7,6.8,-2.9,0.5555555555555555,0.5198019801980198,8.0,3.9,1.3,0.3,0.2,1.0,0.3,0.25,0.3,0.3,1.0,1.0,0.1,0.0,1.1,0.1,1.0,-2.8,0.34916201117318435,0.3461538461538461,,,,,,,,,,,,,,,,,,,,,0.43083114642807985,2020-21
201568,Danilo Gallinari,1610612737,ATL,51.0,24.0,9.3,4.0,0.434,5.0,2.0,0.406,3.4,3.2,0.925,13.3,1.5,0.8,4.1,0.3,3.8,1.8,0.6159688773619859,0.5376344086021505,15.0,2.3,0.6,0.1,0.222,0.2,0.1,0.667,0.1,0.1,1.0,0.5,0.1,0.1,0.5,0.1,0.4,1.6,0.38819875776397517,0.25000000000000006,18.0,24.6,9.7,4.1,0.425,4.7,1.9,0.405,2.9,2.7,0.942,12.8,0.8,0.8,3.9,0.4,3.4,-1.4,0.5830903790087464,0.520618556701031,0.5300578678885612,2020-21
201569,Eric Gordon,1610612745,HOU,27.0,29.2,13.6,5.9,0.433,7.8,2.6,0.329,4.2,3.5,0.825,17.8,2.6,1.9,2.1,0.3,1.9,-2.5,0.576126359399275,0.5294117647058824,9.0,3.1,0.8,0.2,0.286,0.6,0.1,0.2,0.9,0.7,0.75,1.2,0.1,0.0,0.2,0.0,0.2,-1.4,0.5016722408026755,0.3125,,,,,,,,,,,,,,,,,,,,,0.5323726332756192,2020-21
201571,D.J. Augustin,1610612745,HOU,57.0,19.8,6.0,2.4,0.394,3.8,1.5,0.382,1.6,1.5,0.904,7.7,3.3,1.1,1.6,0.4,1.3,-0.7,0.5742840095465395,0.525,4.0,1.6,0.3,0.3,1.0,0.3,0.3,1.0,0.5,0.5,1.0,1.3,0.0,0.0,0.0,0.0,0.0,1.3,1.25,1.5,,,,,,,,,,,,,,,,,,,,,1.0297613365146798,2020-21
201572,Brook Lopez,1610612749,MIL,70.0,27.2,9.1,4.6,0.503,4.0,1.4,0.338,2.0,1.7,0.845,12.3,0.7,0.9,5.0,1.5,3.5,4.5,0.6162324649298597,0.5824175824175825,23.0,2.7,0.5,0.2,0.417,0.2,0.0,0.2,0.2,0.1,0.75,0.6,0.1,0.1,0.5,0.2,0.3,-0.7,0.5102040816326531,0.4,23.0,29.0,9.4,5.2,0.548,3.1,1.0,0.319,1.9,1.6,0.86,13.0,0.3,1.1,5.9,2.1,3.8,2.9,0.6350136772176631,0.6063829787234043,0.5957747821352609,2020-21
201577,Robin Lopez,1610612764,WAS,71.0,19.1,6.0,3.8,0.633,0.3,0.1,0.278,1.9,1.4,0.723,9.0,0.8,1.1,3.8,2.0,1.8,-0.2,0.6582796957284962,0.6416666666666666,11.0,3.8,0.8,0.5,0.667,0.0,0.0,0.0,1.0,0.9,0.909,2.0,0.1,0.0,0.7,0.4,0.4,4.2,0.8064516129032259,0.625,5.0,14.6,5.0,3.6,0.72,0.0,0.0,0.0,0.8,0.2,0.25,7.4,0.0,0.2,1.8,0.8,1.0,-6.4,0.6913303437967115,0.72,0.7375289921519581,2020-21
201580,JaVale McGee,1610612743,DEN,46.0,14.7,6.1,3.1,0.511,0.5,0.1,0.208,1.5,1.0,0.657,7.3,0.8,1.3,5.2,1.7,3.5,-1.9,0.5399408284023669,0.5163934426229508,,,,,,,,,,,,,,,,,,,,,4.0,8.5,2.5,0.8,0.3,0.5,0.0,0.0,1.5,0.5,0.333,2.0,0.8,0.3,3.0,0.8,2.3,2.5,0.3164556962025316,0.32,0.3723269792524905,2020-21
201586,Serge Ibaka,1610612746,LAC,41.0,23.3,8.9,4.5,0.51,2.8,1.0,0.339,1.3,1.0,0.811,11.1,1.8,1.1,6.7,1.8,4.9,3.8,0.5859374999999999,0.5617977528089887,13.0,1.8,0.4,0.1,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.4,0.1,0.3,-1.0,0.25,0.25,2.0,9.2,3.0,1.5,0.5,1.0,0.0,0.0,2.0,2.0,1.0,5.0,1.0,0.5,2.0,0.5,1.5,8.5,0.6443298969072165,0.5,0.5076489138089085,2020-21
