PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP_REG,MIN_REG,FGA_REG,FGM_REG,FG_PCT_REG,FG3A_REG,FG3M_REG,FG3_PCT_REG,FTA_REG,FTM_REG,FT_PCT_REG,PTS_REG,AST_REG,TOV_REG,REB_REG,OREB_REG,DREB_REG,PLUS_MINUS_REG,TS_PCT_REG,EFG_PCT_REG,GP_CLU,MIN_CLU,FGA_CLU,FGM_CLU,FG_PCT_CLU,FG3A_CLU,FG3M_CLU,FG3_PCT_CLU,FTA_CLU,FTM_CLU,FT_PCT_CLU,PTS_CLU,AST_CLU,TOV_CLU,REB_CLU,OREB_CLU,DREB_CLU,PLUS_MINUS_CLU,TS_PCT_CLU,EFG_PCT_CLU,GP_PO,MIN_PO,FGA_PO,FGM_PO,FG_PCT_PO,FG3A_PO,FG3M_PO,FG3_PCT_PO,FTA_PO,FTM_PO,FT_PCT_PO,PTS_PO,AST_PO,TOV_PO,REB_PO,OREB_PO,DREB_PO,PLUS_MINUS_PO,TS_PCT_PO,EFG_PCT_PO,CLUTCH_SCORE,CLUTCH_SCORE_STD,SEASON
1630208,Nick Richards,1610612766,CHA,65.0,18.7,4.8,3.0,0.629,0.0,0.0,1.0,2.8,2.1,0.749,8.2,0.6,0.9,6.4,2.3,4.1,-1.7,0.679708222811671,0.625,7.0,3.1,0.6,0.3,0.5,0.0,0.0,0.0,0.1,0.0,0.0,0.6,0.0,0.1,1.1,0.3,0.9,1.0,0.4658385093167702,0.5,,,,,,,,,,,,,,,,,,,,,0.5496284138124662,-1.5602577686873342,2022-23
1630214,Xavier Tillman,1610612763,MEM,61.0,19.3,5.0,3.1,0.614,0.2,0.1,0.267,1.5,0.8,0.551,7.0,1.6,0.7,5.0,2.0,3.0,0.0,0.6183745583038869,0.63,12.0,1.7,0.1,0.1,1.0,0.0,0.0,0.0,0.7,0.4,0.625,0.6,0.2,0.1,0.5,0.2,0.3,-2.4,0.7352941176470588,1.0,6.0,30.5,7.5,4.0,0.533,0.7,0.2,0.25,0.8,0.5,0.6,8.7,3.2,0.7,8.0,2.8,5.2,-0.8,0.553998981151299,0.5466666666666666,0.6271599561749169,-0.1855298874182214,2022-23
1630215,Jared Butler,1610612760,OKC,6.0,12.8,5.3,2.5,0.469,2.3,1.2,0.5,0.0,0.0,0.0,6.2,1.3,0.8,0.7,0.2,0.5,-0.2,0.5849056603773585,0.5849056603773585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5849056603773585,-0.934749582606802,2022-23
1630217,Desmond Bane,1610612763,MEM,58.0,31.7,16.2,7.8,0.479,7.0,2.9,0.408,3.5,3.1,0.883,21.5,4.4,2.2,5.0,0.7,4.3,6.1,0.6059751972942503,0.5709876543209876,28.0,3.4,1.9,0.9,0.463,0.8,0.2,0.261,1.3,1.1,0.811,3.1,0.2,0.2,0.6,0.3,0.3,0.4,0.6270226537216829,0.5263157894736842,6.0,38.6,19.3,8.2,0.422,8.3,2.7,0.32,4.8,4.5,0.931,23.5,3.2,2.8,6.0,1.2,4.8,-5.3,0.5487577059592752,0.49481865284974086,0.5961106654969114,-0.7360713095034317,2022-23
1630219,Skylar Mays,1610612757,POR,6.0,31.5,11.3,5.7,0.5,4.3,2.0,0.462,2.2,2.0,0.923,15.3,8.3,1.7,3.2,0.3,2.8,-12.3,0.6235735246168894,0.5929203539823009,2.0,3.2,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,-2.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,0.5500407323936373,-1.5529468622842177,2022-23
1630224,Jalen Green,1610612745,HOU,76.0,34.2,17.9,7.4,0.416,7.3,2.5,0.338,6.1,4.8,0.786,22.1,3.7,2.6,3.7,0.6,3.2,-5.9,0.5368247182277498,0.4832402234636872,36.0,3.3,1.4,0.7,0.462,0.4,0.1,0.231,0.9,0.6,0.656,2.0,0.2,0.3,0.4,0.1,0.3,-1.5,0.556792873051225,0.5357142857142857,,,,,,,,,,,,,,,,,,,,,0.5579580504932424,-1.4125632505985166,2022-23
1630225,Isaiah Todd,1610612764,WAS,6.0,10.2,3.2,0.5,0.158,1.7,0.2,0.1,0.3,0.3,1.0,1.5,0.7,0.3,2.0,0.3,1.7,-1.2,0.22509003601440575,0.18749999999999997,1.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,,,,,,,,,,,,,,,,,,,,,,,0.07503001200480192,-9.975460607303152,2022-23
1630227,Daishen Nix,1610612745,HOU,57.0,16.0,4.2,1.4,0.342,2.5,0.7,0.286,0.6,0.4,0.667,4.0,2.3,1.5,1.7,0.3,1.4,-2.6,0.4480286738351254,0.41666666666666663,7.0,2.2,0.6,0.4,0.75,0.1,0.1,1.0,0.4,0.3,0.667,1.3,0.1,0.1,0.1,0.0,0.1,0.1,0.8376288659793815,0.75,,,,,,,,,,,,,,,,,,,,,0.7220478495469425,1.496947058591692,2022-23
1630228,Jonathan Kuminga,1610612744,GSW,67.0,20.8,7.4,3.9,0.525,2.2,0.8,0.37,2.1,1.3,0.652,9.9,1.9,1.4,3.4,1.0,2.4,-0.8,0.594666025949063,0.581081081081081,17.0,2.5,0.8,0.5,0.643,0.1,0.1,1.0,0.2,0.2,0.75,1.3,0.2,0.2,0.5,0.1,0.4,0.0,0.7319819819819819,0.6875,10.0,6.1,2.4,1.3,0.542,0.7,0.3,0.429,0.9,0.5,0.556,3.4,0.5,0.4,0.9,0.4,0.5,-2.3,0.6080114449213162,0.6041666666666666,0.6579215315888458,0.35990999555992786,2022-23
1630230,Naji Marshall,1610612740,NOP,77.0,23.3,7.4,3.2,0.433,2.8,0.9,0.303,2.3,1.8,0.789,9.1,2.5,1.3,3.6,0.6,3.0,0.1,0.5408939610080836,0.49324324324324326,19.0,3.2,0.6,0.3,0.545,0.3,0.1,0.2,0.3,0.2,0.667,0.9,0.2,0.1,0.3,0.1,0.3,0.8,0.6147540983606558,0.5833333333333334,,,,,,,,,,,,,,,,,,,,,0.5982421606834775,-0.6982773256295545,2022-23
